ID;ID_Ocorrencia;Cidade;AeroPorto;Data;Hora;Falha_Ocorrencia;Modelo;Tipo_Motor;Fato_Contribuinte;Aspector;Ano
82929;82929;RS;PORTO ALEGRE;26/12/2023;20:40:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;A320-251N;JATO;Sem Informaçao;Sem Informaçao;2023
82928;82928;PA;BELÉM;19/12/2023;23:30:00;COLISÃO COM AVE;A321-211;JATO;Sem Informaçao;Sem Informaçao;2023
82927;82927;AM;MANAUS;26/11/2023;03:01:00;COLISÃO COM AVE;A320-251N;JATO;Sem Informaçao;Sem Informaçao;2023
82926;82926;SP;SÃO PAULO;18/12/2023;14:50:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82925;82925;DF;BRASÍLIA;19/12/2023;22:00:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82924;82924;CE;FORTALEZA;23/12/2023;18:40:00;COLISÃO COM AVE;737-8 MAX;JATO;Sem Informaçao;Sem Informaçao;2023
82923;82923;MT;VÁRZEA GRANDE;05/09/2023;00:28:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ERJ 190-200 IGW;JATO;Sem Informaçao;Sem Informaçao;2023
82922;82922;SP;GUARULHOS;27/09/2023;19:15:00;CORTANTE DE VENTO / TEMPESTADE;ERJ 190-200 IGW;JATO;Sem Informaçao;Sem Informaçao;2023
82921;82921;PA;BELÉM;19/11/2023;22:20:00;OPERAÇÕES NO SOLO;ERJ 190-200 IGW;JATO;Sem Informaçao;Sem Informaçao;2023
82920;82920;RJ;RIO DE JANEIRO;27/12/2023;01:08:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82919;82919;MA;SÃO LUÍS;27/12/2023;00:20:00;COLISÃO COM AVE;A321-231;JATO;Sem Informaçao;Sem Informaçao;2023
82918;82918;SP;CAMPINAS;27/12/2023;00:51:00;COLISÃO COM AVE;ERJ 190-400;JATO;Sem Informaçao;Sem Informaçao;2023
82917;82917;MG;CONFINS;12/11/2023;14:20:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ERJ 190-400;;Sem Informaçao;Sem Informaçao;2023
82916;82916;SP;GUARULHOS;26/11/2023;18:10:00;OPERAÇÕES NO SOLO;737-86N;;Sem Informaçao;Sem Informaçao;2023
82915;82915;SP;GUARULHOS;25/11/2023;21:13:00;CONTATO ANORMAL COM A PISTA |;777-32WER;JATO;Sem Informaçao;Sem Informaçao;2023
82914;82914;ES;VITÓRIA;11/12/2023;18:13:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;A330-243F;JATO;Sem Informaçao;Sem Informaçao;2023
82913;82913;SP;SÃO PAULO;20/12/2023;12:45:00;COLISÃO COM AVE;A109E;TURBOEIXO;Sem Informaçao;Sem Informaçao;2023
82912;82912;SC;JOINVILLE;21/12/2023;21:08:00;COLISÃO COM AVE;ATR-72-212A;***;Sem Informaçao;Sem Informaçao;2023
82911;82911;SP;GUARULHOS;21/12/2023;20:19:00;COLISÃO COM AVE;ERJ 190-200 IGW;JATO;Sem Informaçao;Sem Informaçao;2023
